officer_name,tenure_id,tenure_idx,officer_id,post_id,officer_start_date_idx,start_date,end_date,start_order_id,start_detail_idx,end_order_id,end_detail_idx,role,manager_ids,reportee_ids,all_order_infos
Prabhudas Patel,Q107657297-0,0,Q107657297,D:__department__>Ministry of Agriculture,0,1974-10-23,1977-03-14,1_Upload_2750.pdf,0,1_Upload_2637.pdf,0,Deputy Minister,['Q1471625-12'],[],"[('1_Upload_2750.pdf', 0), ('1_Upload_2742.pdf', 47), ('1_Upload_2674.pdf', 46), ('1_Upload_2664.pdf', 49), ('1_Upload_2637.pdf', 0)]"
Aravinda Bala Pajanor,Q108168769-0,0,Q108168769,D:__department__>Ministry of Chemicals and Fertilisers,0,1979-08-27,1979-12-26,1_Upload_2454.pdf,11,1_Upload_2470.pdf,1,Cabinet Minister,[],['Q7427196-0'],"[('1_Upload_2454.pdf', 11), ('1_Upload_2471.pdf', 0), ('1_Upload_2470.pdf', 1)]"
Aravinda Bala Pajanor,Q108168769-1,1,Q108168769,D:__department__>Ministry of Petroleum,0,1979-08-27,1979-12-26,1_Upload_2454.pdf,11,1_Upload_2470.pdf,1,Cabinet Minister,[],['Q7427196-1'],"[('1_Upload_2454.pdf', 11), ('1_Upload_2471.pdf', 0), ('1_Upload_2470.pdf', 1)]"
Iqbal Singh,Q108403220-0,0,Q108403220,D:__department__>Ministry of Chemicals and Fertilisers,0,1966-01-24,1967-03-18,1_Upload_2010.pdf,46,1_Upload_2854.pdf,16,Deputy Minister,['Q4807564-0'],[],"[('1_Upload_2010.pdf', 46), ('1_Upload_2874.pdf', 49), ('1_Upload_2875.pdf', 49)]"
Iqbal Singh,Q108403220-1,1,Q108403220,D:__department__>Ministry of Petroleum,0,1966-01-24,1967-03-18,1_Upload_2010.pdf,46,1_Upload_2854.pdf,16,Deputy Minister,['Q4807564-1'],[],"[('1_Upload_2010.pdf', 46), ('1_Upload_2874.pdf', 49), ('1_Upload_2875.pdf', 49)]"
Iqbal Singh,Q108403220-2,2,Q108403220,D:__department__>Ministry of Supply,0,1967-03-18,1969-02-14,1_Upload_2854.pdf,16,1_Upload_2833.pdf,27,Deputy Minister,[],[],"[('1_Upload_2854.pdf', 16), ('1_Upload_2855.pdf', 49), ('1_Upload_2856.pdf', 48), ('1_Upload_2857.pdf', 53), ('1_Upload_2835.pdf', 52), ('1_Upload_2836.pdf', 51), ('1_Upload_2833.pdf', 27)]"
Iqbal Singh,Q108403220-3,3,Q108403220,D:__department__>Ministry of Works and Housing,0,1967-03-18,1969-02-14,1_Upload_2854.pdf,16,1_Upload_2833.pdf,27,Deputy Minister,[],[],"[('1_Upload_2854.pdf', 16), ('1_Upload_2855.pdf', 49), ('1_Upload_2856.pdf', 48), ('1_Upload_2857.pdf', 53), ('1_Upload_2835.pdf', 52), ('1_Upload_2836.pdf', 51), ('1_Upload_2833.pdf', 27)]"
Iqbal Singh,Q108403220-4,4,Q108403220,D:__department__>Ministry of Parliamentary Affairs,0,1969-02-14,1970-07-10,1_Upload_2833.pdf,27,1_Upload_2830.pdf,0,Deputy Minister,[],[],"[('1_Upload_2833.pdf', 27), ('1_Upload_2841.pdf', 51), ('1_Upload_2842.pdf', 44), ('1_Upload_2840.pdf', 46), ('1_Upload_2830.pdf', 0)]"
Iqbal Singh,Q108403220-5,5,Q108403220,D:__department__>Ministry of Shipping and Transport,0,1969-02-14,1970-07-10,1_Upload_2833.pdf,27,1_Upload_2830.pdf,0,Deputy Minister,[],[],"[('1_Upload_2833.pdf', 27), ('1_Upload_2841.pdf', 51), ('1_Upload_2842.pdf', 44), ('1_Upload_2840.pdf', 46), ('1_Upload_2830.pdf', 0)]"
Iqbal Singh,Q108403220-6,6,Q108403220,D:__department__>Ministry of Shipping and Transport,0,1970-07-10,1971-03-18,1_Upload_2830.pdf,0,,-1,Deputy Minister,[],[],"[('1_Upload_2830.pdf', 0)]"
S. B. P. Pattabhirama Rao,Q108507760-0,0,Q108507760,D:__department__>Ministry of Finance,0,1982-09-11,1984-02-08,1_Upload_2421.pdf,1,1_Upload_2152.pdf,2,Minister of State,['Q57446-12'],[],"[('1_Upload_2421.pdf', 1), ('1_Upload_2365.pdf', 38), ('1_Upload_2366.pdf', 35), ('1_Upload_2152.pdf', 2)]"
